Larry B. McNeill, 31/01/1951, Hoke, NC, 29/12/2004
Jonathan Kerner, 06/06/1974, Atlanta, GA, 00/00/0000
Joseph Cooke, 14/08/1948, Fairmont, WV, 12/11/2006
Steven Leonard Hayes, 02/08/1955, American Falls, ID, 00/00/0000
Robert G. Warren, 17/07/1946, Murray, KY, 00/00/0000
David Britton, 29/08/1958, New York, NY, 00/00/0000
Willie Lloyd Anderson, 08/01/1967, Greenville, SC, 00/00/0000
Michael Wayne Young, 02/01/1961, Houston, TX, 00/00/0000
Charlie Alexander Villanueva, 24/08/1984, Queens, NY, 00/00/0000
Travis James Knight, 13/09/1974, Salt Lake City, UT, 00/00/0000
John William Bach, 10/07/1924, Brooklyn, NY, 00/00/0000
Byron O. Bell, 09/06/1914, Neenah, WI, 18/10/2008
Bradley Donn Sellers, 17/12/1962, Warrensville Heights, OH, 00/00/0000
Keyon Latwae Dooling, 08/05/1980, Fort Lauderdale, FL, 00/00/0000
Howard Samuel Thompkins, 29/05/1990, Lithonia, GA, 00/00/0000
Shellie McMillon, 11/03/1936, Chicago, IL, 11/07/1980
Bradley Alexander Branson, 24/09/1958, Harvey, IL, 00/00/0000
Vernon Leon Macklin, 25/09/1986, Portsmouth, VA, 00/00/0000
Antonio Andres Anderson, 05/06/1985, Lynn, MA, 00/00/0000
Dave Scott Feitl, 08/06/1962, Butler, PA, 00/00/0000
Andrew Emil Anderson, 06/07/1945, Buffalo, NY, 00/00/0000
Roy Lester Ebron, 31/08/1951, Norfolk, VA, 00/00/0000
Danny Thomas Roundfield, 26/05/1953, Detroit, MI, 00/00/0000
